Age Group,Year,Labor Force Participtaion Rate (%)
Total,1/1/1991,63.7
Total,1/1/1992,63.9
Total,1/1/1993,63.4
Total,1/1/1994,63.8
Total,1/1/1995,
Total,1/1/1996,64.1
Total,1/1/1997,63.7
Total,1/1/1998,63.1
Total,1/1/1999,64.1
Total,1/1/2000,
Total,1/1/2001,64.4
Total,1/1/2002,63.6
Total,1/1/2003,63.2
Total,1/1/2004,63.3
Total,1/1/2005,
Total,1/1/2006,65
Total,1/1/2007,65.1
Total,1/1/2008,65.6
Total,1/1/2009,65.4
Total,1/1/2010,66.2
Total,1/1/2011,66.1
Total,1/1/2012,66.6
Total,1/1/2013,66.7
Total,1/1/2014,67
Total,1/1/2015,68.3
Total,1/1/2016,68
Total,1/1/2017,67.7
Total,1/1/2018,67.7
Total,1/1/2019,68
Total,1/1/2020,68.1
Total,1/1/2021,70.5
15 to 19,1/1/1991,28.5
15 to 19,1/1/1992,27
15 to 19,1/1/1993,23.7
15 to 19,1/1/1994,21.6
15 to 19,1/1/1995,
15 to 19,1/1/1996,18.8
15 to 19,1/1/1997,15.5
15 to 19,1/1/1998,13.5
15 to 19,1/1/1999,16.1
15 to 19,1/1/2000,
15 to 19,1/1/2001,15.8
15 to 19,1/1/2002,11.9
15 to 19,1/1/2003,11.5
15 to 19,1/1/2004,12.1
15 to 19,1/1/2005,
15 to 19,1/1/2006,12.4
15 to 19,1/1/2007,13.6
15 to 19,1/1/2008,12.8
15 to 19,1/1/2009,11.8
15 to 19,1/1/2010,15.4
15 to 19,1/1/2011,12.3
15 to 19,1/1/2012,12.4
15 to 19,1/1/2013,11.8
15 to 19,1/1/2014,12.3
15 to 19,1/1/2015,15.8
15 to 19,1/1/2016,15.3
15 to 19,1/1/2017,14.2
15 to 19,1/1/2018,15.2
15 to 19,1/1/2019,15.1
15 to 19,1/1/2020,13.8
15 to 19,1/1/2021,15.7
20 to 24,1/1/1991,81
20 to 24,1/1/1992,78.8
20 to 24,1/1/1993,78.1
20 to 24,1/1/1994,76.7
20 to 24,1/1/1995,
20 to 24,1/1/1996,74.4
20 to 24,1/1/1997,71.7
20 to 24,1/1/1998,68.4
20 to 24,1/1/1999,70.7
20 to 24,1/1/2000,
20 to 24,1/1/2001,68.9
20 to 24,1/1/2002,65.2
20 to 24,1/1/2003,67.1
20 to 24,1/1/2004,66.9
20 to 24,1/1/2005,
20 to 24,1/1/2006,70.7
20 to 24,1/1/2007,66.6
20 to 24,1/1/2008,66.5
20 to 24,1/1/2009,63.5
20 to 24,1/1/2010,65.8
20 to 24,1/1/2011,62.8
20 to 24,1/1/2012,63.6
20 to 24,1/1/2013,61.7
20 to 24,1/1/2014,61.8
20 to 24,1/1/2015,65.3
20 to 24,1/1/2016,62.3
20 to 24,1/1/2017,62.2
20 to 24,1/1/2018,61.3
20 to 24,1/1/2019,61
20 to 24,1/1/2020,56
20 to 24,1/1/2021,62.4
25 to 29,1/1/1991,85.2
25 to 29,1/1/1992,86.1
25 to 29,1/1/1993,85.7
25 to 29,1/1/1994,86.4
25 to 29,1/1/1995,
25 to 29,1/1/1996,87.4
25 to 29,1/1/1997,87.5
25 to 29,1/1/1998,86.8
25 to 29,1/1/1999,87.1
25 to 29,1/1/2000,
25 to 29,1/1/2001,88.5
25 to 29,1/1/2002,87.9
25 to 29,1/1/2003,88.7
25 to 29,1/1/2004,87.9
25 to 29,1/1/2005,
25 to 29,1/1/2006,89
25 to 29,1/1/2007,89.9
25 to 29,1/1/2008,88.7
25 to 29,1/1/2009,89.3
25 to 29,1/1/2010,89.4
25 to 29,1/1/2011,89.2
25 to 29,1/1/2012,88.3
25 to 29,1/1/2013,88.5
25 to 29,1/1/2014,89
25 to 29,1/1/2015,90.3
25 to 29,1/1/2016,90.3
25 to 29,1/1/2017,90.2
25 to 29,1/1/2018,90
25 to 29,1/1/2019,90.1
25 to 29,1/1/2020,90.4
25 to 29,1/1/2021,90.4
30 to 34,1/1/1991,79.5
30 to 34,1/1/1992,81
30 to 34,1/1/1993,80
30 to 34,1/1/1994,80.1
30 to 34,1/1/1995,
30 to 34,1/1/1996,82
30 to 34,1/1/1997,82.2
30 to 34,1/1/1998,82.7
30 to 34,1/1/1999,83.4
30 to 34,1/1/2000,
30 to 34,1/1/2001,84.2
30 to 34,1/1/2002,84.4
30 to 34,1/1/2003,85.8
30 to 34,1/1/2004,85.6
30 to 34,1/1/2005,
30 to 34,1/1/2006,87.2
30 to 34,1/1/2007,87.7
30 to 34,1/1/2008,88.6
30 to 34,1/1/2009,88.3
30 to 34,1/1/2010,89
30 to 34,1/1/2011,88.6
30 to 34,1/1/2012,89.8
30 to 34,1/1/2013,90.1
30 to 34,1/1/2014,89.9
30 to 34,1/1/2015,90.2
30 to 34,1/1/2016,90.8
30 to 34,1/1/2017,91.8
30 to 34,1/1/2018,91
30 to 34,1/1/2019,92.3
30 to 34,1/1/2020,92.3
30 to 34,1/1/2021,93.4
35 to 39,1/1/1991,77.6
35 to 39,1/1/1992,77
35 to 39,1/1/1993,77.4
35 to 39,1/1/1994,78.1
35 to 39,1/1/1995,
35 to 39,1/1/1996,79.1
35 to 39,1/1/1997,78.5
35 to 39,1/1/1998,80.2
35 to 39,1/1/1999,79.3
35 to 39,1/1/2000,
35 to 39,1/1/2001,80.4
35 to 39,1/1/2002,80.2
35 to 39,1/1/2003,81.6
35 to 39,1/1/2004,82.1
35 to 39,1/1/2005,
35 to 39,1/1/2006,83.8
35 to 39,1/1/2007,84.5
35 to 39,1/1/2008,85.6
35 to 39,1/1/2009,85.8
35 to 39,1/1/2010,86.2
35 to 39,1/1/2011,87.3
35 to 39,1/1/2012,88
35 to 39,1/1/2013,88
35 to 39,1/1/2014,88.8
35 to 39,1/1/2015,89.1
35 to 39,1/1/2016,89.7
35 to 39,1/1/2017,89.8
35 to 39,1/1/2018,89
35 to 39,1/1/2019,89.6
35 to 39,1/1/2020,90.4
35 to 39,1/1/2021,91.2
40 to 44,1/1/1991,75.9
40 to 44,1/1/1992,76.2
40 to 44,1/1/1993,76.4
40 to 44,1/1/1994,76.7
40 to 44,1/1/1995,
40 to 44,1/1/1996,77.5
40 to 44,1/1/1997,77.9
40 to 44,1/1/1998,78.8
40 to 44,1/1/1999,78.8
40 to 44,1/1/2000,
40 to 44,1/1/2001,80.1
40 to 44,1/1/2002,80.1
40 to 44,1/1/2003,80.1
40 to 44,1/1/2004,80.8
40 to 44,1/1/2005,
40 to 44,1/1/2006,82.5
40 to 44,1/1/2007,82.9
40 to 44,1/1/2008,83.3
40 to 44,1/1/2009,84.4
40 to 44,1/1/2010,84.4
40 to 44,1/1/2011,84.9
40 to 44,1/1/2012,85.4
40 to 44,1/1/2013,85.7
40 to 44,1/1/2014,87.1
40 to 44,1/1/2015,87.6
40 to 44,1/1/2016,88.2
40 to 44,1/1/2017,87.7
40 to 44,1/1/2018,88.8
40 to 44,1/1/2019,88.7
40 to 44,1/1/2020,89
40 to 44,1/1/2021,90.6
45 to 49,1/1/1991,70.4
45 to 49,1/1/1992,71.5
45 to 49,1/1/1993,73.3
45 to 49,1/1/1994,73.9
45 to 49,1/1/1995,
45 to 49,1/1/1996,75.8
45 to 49,1/1/1997,76.2
45 to 49,1/1/1998,76.5
45 to 49,1/1/1999,78.2
45 to 49,1/1/2000,
45 to 49,1/1/2001,78.9
45 to 49,1/1/2002,78.2
45 to 49,1/1/2003,77.6
45 to 49,1/1/2004,79.2
45 to 49,1/1/2005,
45 to 49,1/1/2006,81.4
45 to 49,1/1/2007,80.8
45 to 49,1/1/2008,82.8
45 to 49,1/1/2009,82.1
45 to 49,1/1/2010,82.4
45 to 49,1/1/2011,83.7
45 to 49,1/1/2012,84.4
45 to 49,1/1/2013,84.5
45 to 49,1/1/2014,84.7
45 to 49,1/1/2015,85.9
45 to 49,1/1/2016,86.3
45 to 49,1/1/2017,86.8
45 to 49,1/1/2018,86.5
45 to 49,1/1/2019,87.9
45 to 49,1/1/2020,87.4
45 to 49,1/1/2021,88.3
50 to 54,1/1/1991,63.2
50 to 54,1/1/1992,62.5
50 to 54,1/1/1993,63.5
50 to 54,1/1/1994,64.3
50 to 54,1/1/1995,
50 to 54,1/1/1996,68
50 to 54,1/1/1997,69.1
50 to 54,1/1/1998,68.9
50 to 54,1/1/1999,69.5
50 to 54,1/1/2000,
50 to 54,1/1/2001,71.4
50 to 54,1/1/2002,72.5
50 to 54,1/1/2003,73.1
50 to 54,1/1/2004,73.4
50 to 54,1/1/2005,
50 to 54,1/1/2006,76.8
50 to 54,1/1/2007,77.3
50 to 54,1/1/2008,77.5
50 to 54,1/1/2009,78.1
50 to 54,1/1/2010,78.6
50 to 54,1/1/2011,79.7
50 to 54,1/1/2012,79.5
50 to 54,1/1/2013,80
50 to 54,1/1/2014,81.8
50 to 54,1/1/2015,82.4
50 to 54,1/1/2016,81.4
50 to 54,1/1/2017,82.8
50 to 54,1/1/2018,82
50 to 54,1/1/2019,82.3
50 to 54,1/1/2020,82.2
50 to 54,1/1/2021,84.8
55 to 59,1/1/1991,46.1
55 to 59,1/1/1992,46.9
55 to 59,1/1/1993,47
55 to 59,1/1/1994,49.6
55 to 59,1/1/1995,
55 to 59,1/1/1996,52.9
55 to 59,1/1/1997,51
55 to 59,1/1/1998,53.4
55 to 59,1/1/1999,54.1
55 to 59,1/1/2000,
55 to 59,1/1/2001,55.6
55 to 59,1/1/2002,58.7
55 to 59,1/1/2003,57.5
55 to 59,1/1/2004,59.1
55 to 59,1/1/2005,
55 to 59,1/1/2006,63.5
55 to 59,1/1/2007,66
55 to 59,1/1/2008,66.6
55 to 59,1/1/2009,68.4
55 to 59,1/1/2010,68.3
55 to 59,1/1/2011,70.2
55 to 59,1/1/2012,72.4
55 to 59,1/1/2013,73.2
55 to 59,1/1/2014,74.3
55 to 59,1/1/2015,75.5
55 to 59,1/1/2016,75.8
55 to 59,1/1/2017,74.9
55 to 59,1/1/2018,75.1
55 to 59,1/1/2019,75
55 to 59,1/1/2020,75.9
55 to 59,1/1/2021,77.7
60 to 64,1/1/1991,29.9
60 to 64,1/1/1992,30.5
60 to 64,1/1/1993,30.4
60 to 64,1/1/1994,30.8
60 to 64,1/1/1995,
60 to 64,1/1/1996,31.6
60 to 64,1/1/1997,32.4
60 to 64,1/1/1998,30.9
60 to 64,1/1/1999,34.8
60 to 64,1/1/2000,
60 to 64,1/1/2001,35.6
60 to 64,1/1/2002,35.4
60 to 64,1/1/2003,34.2
60 to 64,1/1/2004,35.1
60 to 64,1/1/2005,
60 to 64,1/1/2006,43.9
60 to 64,1/1/2007,46.8
60 to 64,1/1/2008,48.8
60 to 64,1/1/2009,50.6
60 to 64,1/1/2010,51
60 to 64,1/1/2011,54.7
60 to 64,1/1/2012,58.1
60 to 64,1/1/2013,59.7
60 to 64,1/1/2014,61.2
60 to 64,1/1/2015,62.4
60 to 64,1/1/2016,62.8
60 to 64,1/1/2017,63.6
60 to 64,1/1/2018,62.2
60 to 64,1/1/2019,63.9
60 to 64,1/1/2020,65
60 to 64,1/1/2021,65.9
65 to 69,1/1/1991,17.5
65 to 69,1/1/1992,20.7
65 to 69,1/1/1993,19.1
65 to 69,1/1/1994,20.4
65 to 69,1/1/1995,
65 to 69,1/1/1996,20.9
65 to 69,1/1/1997,20.9
65 to 69,1/1/1998,18.2
65 to 69,1/1/1999,20.5
65 to 69,1/1/2000,
65 to 69,1/1/2001,20.7
65 to 69,1/1/2002,19.6
65 to 69,1/1/2003,19.5
65 to 69,1/1/2004,18.9
65 to 69,1/1/2005,
65 to 69,1/1/2006,25.3
65 to 69,1/1/2007,26.6
65 to 69,1/1/2008,27.5
65 to 69,1/1/2009,29.9
65 to 69,1/1/2010,30.9
65 to 69,1/1/2011,36.2
65 to 69,1/1/2012,38.6
65 to 69,1/1/2013,40.2
65 to 69,1/1/2014,41.2
65 to 69,1/1/2015,42.2
65 to 69,1/1/2016,43.2
65 to 69,1/1/2017,43.4
65 to 69,1/1/2018,45.3
65 to 69,1/1/2019,46.1
65 to 69,1/1/2020,48.7
65 to 69,1/1/2021,50.9
70 to 74,1/1/1991,10.3
70 to 74,1/1/1992,12.1
70 to 74,1/1/1993,12
70 to 74,1/1/1994,12.7
70 to 74,1/1/1995,
70 to 74,1/1/1996,11.6
70 to 74,1/1/1997,10
70 to 74,1/1/1998,10.6
70 to 74,1/1/1999,11.3
70 to 74,1/1/2000,
70 to 74,1/1/2001,10.6
70 to 74,1/1/2002,10.1
70 to 74,1/1/2003,10.2
70 to 74,1/1/2004,8.9
70 to 74,1/1/2005,
70 to 74,1/1/2006,13.2
70 to 74,1/1/2007,12.2
70 to 74,1/1/2008,15.1
70 to 74,1/1/2009,16.8
70 to 74,1/1/2010,18.7
70 to 74,1/1/2011,20.4
70 to 74,1/1/2012,21.9
70 to 74,1/1/2013,24.2
70 to 74,1/1/2014,25.7
70 to 74,1/1/2015,24.9
70 to 74,1/1/2016,26.8
70 to 74,1/1/2017,28
70 to 74,1/1/2018,28.3
70 to 74,1/1/2019,28.8
70 to 74,1/1/2020,31
70 to 74,1/1/2021,31.8
75 & Over,1/1/1991,4.8
75 & Over,1/1/1992,4.7
75 & Over,1/1/1993,4.7
75 & Over,1/1/1994,5.6
75 & Over,1/1/1995,
75 & Over,1/1/1996,4.5
75 & Over,1/1/1997,4
75 & Over,1/1/1998,3
75 & Over,1/1/1999,4.8
75 & Over,1/1/2000,
75 & Over,1/1/2001,4
75 & Over,1/1/2002,4.2
75 & Over,1/1/2003,3.4
75 & Over,1/1/2004,2.6
75 & Over,1/1/2005,
75 & Over,1/1/2006,3.9
75 & Over,1/1/2007,5
75 & Over,1/1/2008,5.4
75 & Over,1/1/2009,5.7
75 & Over,1/1/2010,5.4
75 & Over,1/1/2011,6.4
75 & Over,1/1/2012,6.7
75 & Over,1/1/2013,7.6
75 & Over,1/1/2014,8.4
75 & Over,1/1/2015,8.8
75 & Over,1/1/2016,8.4
75 & Over,1/1/2017,9.1
75 & Over,1/1/2018,9.4
75 & Over,1/1/2019,9.5
75 & Over,1/1/2020,10.2
75 & Over,1/1/2021,11.8
Males,1/1/1991,79.4
Males,1/1/1992,79.4
Males,1/1/1993,78.8
Males,1/1/1994,79.2
Males,1/1/1995,
Males,1/1/1996,78.7
Males,1/1/1997,78.2
Males,1/1/1998,77.4
Males,1/1/1999,77.8
Males,1/1/2000,
Males,1/1/2001,77.7
Males,1/1/2002,77.2
Males,1/1/2003,76.1
Males,1/1/2004,75.7
Males,1/1/2005,
Males,1/1/2006,76.2
Males,1/1/2007,76.5
Males,1/1/2008,76.1
Males,1/1/2009,76.3
Males,1/1/2010,76.5
Males,1/1/2011,75.6
Males,1/1/2012,76
Males,1/1/2013,75.8
Males,1/1/2014,75.9
Males,1/1/2015,76.7
Males,1/1/2016,76.2
Males,1/1/2017,76
Males,1/1/2018,75.6
Males,1/1/2019,75.4
Males,1/1/2020,75.4
Males,1/1/2021,77.2
M 15 to 19,1/1/1991,30
M 15 to 19,1/1/1992,28.6
M 15 to 19,1/1/1993,23.9
M 15 to 19,1/1/1994,22.5
M 15 to 19,1/1/1995,
M 15 to 19,1/1/1996,21.5
M 15 to 19,1/1/1997,16.7
M 15 to 19,1/1/1998,15.7
M 15 to 19,1/1/1999,17.3
M 15 to 19,1/1/2000,
M 15 to 19,1/1/2001,17.2
M 15 to 19,1/1/2002,12.8
M 15 to 19,1/1/2003,12.6
M 15 to 19,1/1/2004,12.4
M 15 to 19,1/1/2005,
M 15 to 19,1/1/2006,12.6
M 15 to 19,1/1/2007,15.2
M 15 to 19,1/1/2008,13.9
M 15 to 19,1/1/2009,13
M 15 to 19,1/1/2010,17.5
M 15 to 19,1/1/2011,14.6
M 15 to 19,1/1/2012,13.8
M 15 to 19,1/1/2013,13.2
M 15 to 19,1/1/2014,14.9
M 15 to 19,1/1/2015,18.3
M 15 to 19,1/1/2016,18
M 15 to 19,1/1/2017,18
M 15 to 19,1/1/2018,18.4
M 15 to 19,1/1/2019,17.5
M 15 to 19,1/1/2020,16.8
M 15 to 19,1/1/2021,17.6
M 20 to 24,1/1/1991,82.2
M 20 to 24,1/1/1992,81
M 20 to 24,1/1/1993,80.2
M 20 to 24,1/1/1994,78
M 20 to 24,1/1/1995,
M 20 to 24,1/1/1996,74.2
M 20 to 24,1/1/1997,71.6
M 20 to 24,1/1/1998,69.2
M 20 to 24,1/1/1999,70.3
M 20 to 24,1/1/2000,
M 20 to 24,1/1/2001,69.6
M 20 to 24,1/1/2002,67.5
M 20 to 24,1/1/2003,68.3
M 20 to 24,1/1/2004,68.6
M 20 to 24,1/1/2005,
M 20 to 24,1/1/2006,71.4
M 20 to 24,1/1/2007,67.6
M 20 to 24,1/1/2008,66.1
M 20 to 24,1/1/2009,65.2
M 20 to 24,1/1/2010,66.2
M 20 to 24,1/1/2011,63.2
M 20 to 24,1/1/2012,64.5
M 20 to 24,1/1/2013,63.2
M 20 to 24,1/1/2014,63.6
M 20 to 24,1/1/2015,64.4
M 20 to 24,1/1/2016,62.6
M 20 to 24,1/1/2017,62.7
M 20 to 24,1/1/2018,60.3
M 20 to 24,1/1/2019,59.3
M 20 to 24,1/1/2020,54.9
M 20 to 24,1/1/2021,59
M 25 to 29,1/1/1991,96.9
M 25 to 29,1/1/1992,97
M 25 to 29,1/1/1993,96
M 25 to 29,1/1/1994,96
M 25 to 29,1/1/1995,
M 25 to 29,1/1/1996,96.5
M 25 to 29,1/1/1997,94.8
M 25 to 29,1/1/1998,94.4
M 25 to 29,1/1/1999,94.1
M 25 to 29,1/1/2000,
M 25 to 29,1/1/2001,94.8
M 25 to 29,1/1/2002,94.1
M 25 to 29,1/1/2003,94
M 25 to 29,1/1/2004,92.3
M 25 to 29,1/1/2005,
M 25 to 29,1/1/2006,94
M 25 to 29,1/1/2007,93.6
M 25 to 29,1/1/2008,93.3
M 25 to 29,1/1/2009,93.3
M 25 to 29,1/1/2010,93.3
M 25 to 29,1/1/2011,91.8
M 25 to 29,1/1/2012,89.9
M 25 to 29,1/1/2013,89
M 25 to 29,1/1/2014,89.4
M 25 to 29,1/1/2015,90.9
M 25 to 29,1/1/2016,90
M 25 to 29,1/1/2017,90.7
M 25 to 29,1/1/2018,90.7
M 25 to 29,1/1/2019,90
M 25 to 29,1/1/2020,89.7
M 25 to 29,1/1/2021,90.2
M 30 to 34,1/1/1991,98.7
M 30 to 34,1/1/1992,98.7
M 30 to 34,1/1/1993,98.5
M 30 to 34,1/1/1994,98.3
M 30 to 34,1/1/1995,
M 30 to 34,1/1/1996,98.3
M 30 to 34,1/1/1997,98.5
M 30 to 34,1/1/1998,98.4
M 30 to 34,1/1/1999,98.1
M 30 to 34,1/1/2000,
M 30 to 34,1/1/2001,98.2
M 30 to 34,1/1/2002,98.3
M 30 to 34,1/1/2003,98.5
M 30 to 34,1/1/2004,98
M 30 to 34,1/1/2005,
M 30 to 34,1/1/2006,98
M 30 to 34,1/1/2007,98.3
M 30 to 34,1/1/2008,98.1
M 30 to 34,1/1/2009,97.7
M 30 to 34,1/1/2010,97.7
M 30 to 34,1/1/2011,97.4
M 30 to 34,1/1/2012,97.2
M 30 to 34,1/1/2013,97.2
M 30 to 34,1/1/2014,97.5
M 30 to 34,1/1/2015,97.4
M 30 to 34,1/1/2016,97
M 30 to 34,1/1/2017,97.4
M 30 to 34,1/1/2018,97.8
M 30 to 34,1/1/2019,96.8
M 30 to 34,1/1/2020,96.8
M 30 to 34,1/1/2021,97
M 35 to 39,1/1/1991,99.1
M 35 to 39,1/1/1992,98.5
M 35 to 39,1/1/1993,98.4
M 35 to 39,1/1/1994,98.8
M 35 to 39,1/1/1995,
M 35 to 39,1/1/1996,98.2
M 35 to 39,1/1/1997,98.4
M 35 to 39,1/1/1998,98.8
M 35 to 39,1/1/1999,98.2
M 35 to 39,1/1/2000,
M 35 to 39,1/1/2001,98.6
M 35 to 39,1/1/2002,98.3
M 35 to 39,1/1/2003,98.2
M 35 to 39,1/1/2004,97.7
M 35 to 39,1/1/2005,
M 35 to 39,1/1/2006,98.2
M 35 to 39,1/1/2007,98.1
M 35 to 39,1/1/2008,97.7
M 35 to 39,1/1/2009,97.8
M 35 to 39,1/1/2010,98
M 35 to 39,1/1/2011,97.7
M 35 to 39,1/1/2012,98.2
M 35 to 39,1/1/2013,97.5
M 35 to 39,1/1/2014,97.2
M 35 to 39,1/1/2015,97.5
M 35 to 39,1/1/2016,97.8
M 35 to 39,1/1/2017,97.6
M 35 to 39,1/1/2018,97.2
M 35 to 39,1/1/2019,97.8
M 35 to 39,1/1/2020,97.2
M 35 to 39,1/1/2021,97.4
M 40 to 44,1/1/1991,98.4
M 40 to 44,1/1/1992,98.3
M 40 to 44,1/1/1993,98.1
M 40 to 44,1/1/1994,98.7
M 40 to 44,1/1/1995,
M 40 to 44,1/1/1996,98.2
M 40 to 44,1/1/1997,98
M 40 to 44,1/1/1998,98.2
M 40 to 44,1/1/1999,97.6
M 40 to 44,1/1/2000,
M 40 to 44,1/1/2001,98.1
M 40 to 44,1/1/2002,97.7
M 40 to 44,1/1/2003,97.2
M 40 to 44,1/1/2004,97.3
M 40 to 44,1/1/2005,
M 40 to 44,1/1/2006,97.7
M 40 to 44,1/1/2007,97.2
M 40 to 44,1/1/2008,97.5
M 40 to 44,1/1/2009,97.8
M 40 to 44,1/1/2010,96.8
M 40 to 44,1/1/2011,97.1
M 40 to 44,1/1/2012,97.1
M 40 to 44,1/1/2013,97.1
M 40 to 44,1/1/2014,96.8
M 40 to 44,1/1/2015,97.1
M 40 to 44,1/1/2016,97.2
M 40 to 44,1/1/2017,97
M 40 to 44,1/1/2018,97.2
M 40 to 44,1/1/2019,97.3
M 40 to 44,1/1/2020,97.4
M 40 to 44,1/1/2021,97.1
M 45 to 49,1/1/1991,96.5
M 45 to 49,1/1/1992,96.1
M 45 to 49,1/1/1993,96.7
M 45 to 49,1/1/1994,97.1
M 45 to 49,1/1/1995,
M 45 to 49,1/1/1996,96.8
M 45 to 49,1/1/1997,96.9
M 45 to 49,1/1/1998,97.2
M 45 to 49,1/1/1999,96.9
M 45 to 49,1/1/2000,
M 45 to 49,1/1/2001,96.5
M 45 to 49,1/1/2002,96.8
M 45 to 49,1/1/2003,96
M 45 to 49,1/1/2004,96.5
M 45 to 49,1/1/2005,
M 45 to 49,1/1/2006,96.5
M 45 to 49,1/1/2007,96.6
M 45 to 49,1/1/2008,96.6
M 45 to 49,1/1/2009,96.4
M 45 to 49,1/1/2010,96.1
