Age Group,Year,Labor Force Participtaion Rate (%)
M 45 to 49,1/1/2011,96
M 45 to 49,1/1/2012,95.6
M 45 to 49,1/1/2013,96.1
M 45 to 49,1/1/2014,96.4
M 45 to 49,1/1/2015,96.9
M 45 to 49,1/1/2016,96.3
M 45 to 49,1/1/2017,96.6
M 45 to 49,1/1/2018,95.4
M 45 to 49,1/1/2019,96
M 45 to 49,1/1/2020,96.1
M 45 to 49,1/1/2021,96.3
M 50 to 54,1/1/1991,92.5
M 50 to 54,1/1/1992,89.2
M 50 to 54,1/1/1993,90.2
M 50 to 54,1/1/1994,91.2
M 50 to 54,1/1/1995,
M 50 to 54,1/1/1996,91.2
M 50 to 54,1/1/1997,92.6
M 50 to 54,1/1/1998,91.6
M 50 to 54,1/1/1999,92.2
M 50 to 54,1/1/2000,
M 50 to 54,1/1/2001,90.8
M 50 to 54,1/1/2002,92.1
M 50 to 54,1/1/2003,91.9
M 50 to 54,1/1/2004,93.2
M 50 to 54,1/1/2005,
M 50 to 54,1/1/2006,93.3
M 50 to 54,1/1/2007,94.1
M 50 to 54,1/1/2008,93
M 50 to 54,1/1/2009,93.5
M 50 to 54,1/1/2010,92.6
M 50 to 54,1/1/2011,93.5
M 50 to 54,1/1/2012,93.8
M 50 to 54,1/1/2013,94
M 50 to 54,1/1/2014,93.8
M 50 to 54,1/1/2015,94.2
M 50 to 54,1/1/2016,92.9
M 50 to 54,1/1/2017,94.4
M 50 to 54,1/1/2018,92.8
M 50 to 54,1/1/2019,93.9
M 50 to 54,1/1/2020,93.2
M 50 to 54,1/1/2021,94.2
M 55 to 59,1/1/1991,70.7
M 55 to 59,1/1/1992,70.9
M 55 to 59,1/1/1993,71.7
M 55 to 59,1/1/1994,74.5
M 55 to 59,1/1/1995,
M 55 to 59,1/1/1996,77.4
M 55 to 59,1/1/1997,76.1
M 55 to 59,1/1/1998,76.6
M 55 to 59,1/1/1999,76.4
M 55 to 59,1/1/2000,
M 55 to 59,1/1/2001,74.3
M 55 to 59,1/1/2002,79.4
M 55 to 59,1/1/2003,78.7
M 55 to 59,1/1/2004,78.3
M 55 to 59,1/1/2005,
M 55 to 59,1/1/2006,81.9
M 55 to 59,1/1/2007,84.5
M 55 to 59,1/1/2008,84.9
M 55 to 59,1/1/2009,86.8
M 55 to 59,1/1/2010,85
M 55 to 59,1/1/2011,85.7
M 55 to 59,1/1/2012,88.5
M 55 to 59,1/1/2013,87.6
M 55 to 59,1/1/2014,87.5
M 55 to 59,1/1/2015,88.2
M 55 to 59,1/1/2016,88.7
M 55 to 59,1/1/2017,88
M 55 to 59,1/1/2018,88
M 55 to 59,1/1/2019,87.3
M 55 to 59,1/1/2020,87.1
M 55 to 59,1/1/2021,89.5
M 60 to 64,1/1/1991,46.8
M 60 to 64,1/1/1992,49
M 60 to 64,1/1/1993,50.4
M 60 to 64,1/1/1994,49
M 60 to 64,1/1/1995,
M 60 to 64,1/1/1996,48.8
M 60 to 64,1/1/1997,49.8
M 60 to 64,1/1/1998,49.1
M 60 to 64,1/1/1999,51.8
M 60 to 64,1/1/2000,
M 60 to 64,1/1/2001,54.1
M 60 to 64,1/1/2002,53.5
M 60 to 64,1/1/2003,50.4
M 60 to 64,1/1/2004,52.4
M 60 to 64,1/1/2005,
M 60 to 64,1/1/2006,62.5
M 60 to 64,1/1/2007,65.6
M 60 to 64,1/1/2008,64.7
M 60 to 64,1/1/2009,69.5
M 60 to 64,1/1/2010,67.5
M 60 to 64,1/1/2011,71.1
M 60 to 64,1/1/2012,74.6
M 60 to 64,1/1/2013,75
M 60 to 64,1/1/2014,77
M 60 to 64,1/1/2015,77.2
M 60 to 64,1/1/2016,76.9
M 60 to 64,1/1/2017,77.8
M 60 to 64,1/1/2018,75.7
M 60 to 64,1/1/2019,76.7
M 60 to 64,1/1/2020,77.8
M 60 to 64,1/1/2021,79.2
M 65 to 69,1/1/1991,29.7
M 65 to 69,1/1/1992,34.2
M 65 to 69,1/1/1993,33.1
M 65 to 69,1/1/1994,34.1
M 65 to 69,1/1/1995,
M 65 to 69,1/1/1996,34.1
M 65 to 69,1/1/1997,34.5
M 65 to 69,1/1/1998,29.4
M 65 to 69,1/1/1999,33.3
M 65 to 69,1/1/2000,
M 65 to 69,1/1/2001,33.4
M 65 to 69,1/1/2002,31.9
M 65 to 69,1/1/2003,31.1
M 65 to 69,1/1/2004,29.3
M 65 to 69,1/1/2005,
M 65 to 69,1/1/2006,36
M 65 to 69,1/1/2007,38.7
M 65 to 69,1/1/2008,40.1
M 65 to 69,1/1/2009,43.6
M 65 to 69,1/1/2010,43.7
M 65 to 69,1/1/2011,49.1
M 65 to 69,1/1/2012,52.6
M 65 to 69,1/1/2013,53.4
M 65 to 69,1/1/2014,54.1
M 65 to 69,1/1/2015,54.5
M 65 to 69,1/1/2016,55.7
M 65 to 69,1/1/2017,54.8
M 65 to 69,1/1/2018,57.3
M 65 to 69,1/1/2019,57.6
M 65 to 69,1/1/2020,59.8
M 65 to 69,1/1/2021,61.1
M 70 to 74,1/1/1991,17.4
M 70 to 74,1/1/1992,20.5
M 70 to 74,1/1/1993,20.7
M 70 to 74,1/1/1994,21.7
M 70 to 74,1/1/1995,
M 70 to 74,1/1/1996,19
M 70 to 74,1/1/1997,16.1
M 70 to 74,1/1/1998,18.8
M 70 to 74,1/1/1999,18.9
M 70 to 74,1/1/2000,
M 70 to 74,1/1/2001,18.3
M 70 to 74,1/1/2002,16.4
M 70 to 74,1/1/2003,17.5
M 70 to 74,1/1/2004,13.9
M 70 to 74,1/1/2005,
M 70 to 74,1/1/2006,20
M 70 to 74,1/1/2007,19.5
M 70 to 74,1/1/2008,23.4
M 70 to 74,1/1/2009,25.2
M 70 to 74,1/1/2010,27.3
M 70 to 74,1/1/2011,31.1
M 70 to 74,1/1/2012,32.1
M 70 to 74,1/1/2013,35.8
M 70 to 74,1/1/2014,37.3
M 70 to 74,1/1/2015,34.5
M 70 to 74,1/1/2016,35.4
M 70 to 74,1/1/2017,39.3
M 70 to 74,1/1/2018,37.3
M 70 to 74,1/1/2019,38.6
M 70 to 74,1/1/2020,40.8
M 70 to 74,1/1/2021,41.3
M 75 & Over,1/1/1991,9.4
M 75 & Over,1/1/1992,9.7
M 75 & Over,1/1/1993,8.5
M 75 & Over,1/1/1994,11.7
M 75 & Over,1/1/1995,
M 75 & Over,1/1/1996,8.9
M 75 & Over,1/1/1997,7.8
M 75 & Over,1/1/1998,5.3
M 75 & Over,1/1/1999,9.5
M 75 & Over,1/1/2000,
M 75 & Over,1/1/2001,7.9
M 75 & Over,1/1/2002,7.9
M 75 & Over,1/1/2003,6.7
M 75 & Over,1/1/2004,5
M 75 & Over,1/1/2005,
M 75 & Over,1/1/2006,6.8
M 75 & Over,1/1/2007,8.6
M 75 & Over,1/1/2008,9.4
M 75 & Over,1/1/2009,10.6
M 75 & Over,1/1/2010,9.8
M 75 & Over,1/1/2011,11.1
M 75 & Over,1/1/2012,11.5
M 75 & Over,1/1/2013,12.5
M 75 & Over,1/1/2014,13.6
M 75 & Over,1/1/2015,13.8
M 75 & Over,1/1/2016,13.4
M 75 & Over,1/1/2017,14.9
M 75 & Over,1/1/2018,14.4
M 75 & Over,1/1/2019,14.8
M 75 & Over,1/1/2020,14.9
M 75 & Over,1/1/2021,17.2
Females,1/1/1991,48
Females,1/1/1992,48.6
Females,1/1/1993,48
Females,1/1/1994,48.6
Females,1/1/1995,
Females,1/1/1996,49.9
Females,1/1/1997,49.5
Females,1/1/1998,49.4
Females,1/1/1999,50.7
Females,1/1/2000,
Females,1/1/2001,51.6
Females,1/1/2002,50.6
Females,1/1/2003,50.9
Females,1/1/2004,51.3
Females,1/1/2005,
Females,1/1/2006,54.3
Females,1/1/2007,54.3
Females,1/1/2008,55.6
Females,1/1/2009,55.2
Females,1/1/2010,56.5
Females,1/1/2011,57
Females,1/1/2012,57.7
Females,1/1/2013,58.1
Females,1/1/2014,58.6
Females,1/1/2015,60.4
Females,1/1/2016,60.4
Females,1/1/2017,59.8
Females,1/1/2018,60.2
Females,1/1/2019,61.1
Females,1/1/2020,61.2
Females,1/1/2021,64.2
F 15 to 19,1/1/1991,26.9
F 15 to 19,1/1/1992,25.3
F 15 to 19,1/1/1993,23.4
F 15 to 19,1/1/1994,20.6
F 15 to 19,1/1/1995,
F 15 to 19,1/1/1996,15.9
F 15 to 19,1/1/1997,14.3
F 15 to 19,1/1/1998,11.1
F 15 to 19,1/1/1999,14.8
F 15 to 19,1/1/2000,
F 15 to 19,1/1/2001,14.3
F 15 to 19,1/1/2002,10.8
F 15 to 19,1/1/2003,10.2
F 15 to 19,1/1/2004,11.8
F 15 to 19,1/1/2005,
F 15 to 19,1/1/2006,12.1
F 15 to 19,1/1/2007,11.7
F 15 to 19,1/1/2008,11.6
F 15 to 19,1/1/2009,10.4
F 15 to 19,1/1/2010,13.1
F 15 to 19,1/1/2011,9.8
F 15 to 19,1/1/2012,10.9
F 15 to 19,1/1/2013,10.2
F 15 to 19,1/1/2014,9.6
F 15 to 19,1/1/2015,13.1
F 15 to 19,1/1/2016,12.4
F 15 to 19,1/1/2017,10.2
F 15 to 19,1/1/2018,11.6
F 15 to 19,1/1/2019,12.4
F 15 to 19,1/1/2020,10.6
F 15 to 19,1/1/2021,13.7
F 20 to 24,1/1/1991,79.7
F 20 to 24,1/1/1992,76.6
F 20 to 24,1/1/1993,75.8
F 20 to 24,1/1/1994,75.4
F 20 to 24,1/1/1995,
F 20 to 24,1/1/1996,74.5
F 20 to 24,1/1/1997,71.9
F 20 to 24,1/1/1998,67.6
F 20 to 24,1/1/1999,71.1
F 20 to 24,1/1/2000,
F 20 to 24,1/1/2001,68.2
F 20 to 24,1/1/2002,62.8
F 20 to 24,1/1/2003,65.9
F 20 to 24,1/1/2004,65.1
F 20 to 24,1/1/2005,
F 20 to 24,1/1/2006,70
F 20 to 24,1/1/2007,65.5
F 20 to 24,1/1/2008,67
F 20 to 24,1/1/2009,61.8
F 20 to 24,1/1/2010,65.3
F 20 to 24,1/1/2011,62.5
F 20 to 24,1/1/2012,62.6
F 20 to 24,1/1/2013,59.9
F 20 to 24,1/1/2014,59.8
F 20 to 24,1/1/2015,66.3
F 20 to 24,1/1/2016,62
F 20 to 24,1/1/2017,61.6
F 20 to 24,1/1/2018,62.4
F 20 to 24,1/1/2019,62.9
F 20 to 24,1/1/2020,57.3
F 20 to 24,1/1/2021,66.1
F 25 to 29,1/1/1991,73.4
F 25 to 29,1/1/1992,75.3
F 25 to 29,1/1/1993,75.1
F 25 to 29,1/1/1994,76.8
F 25 to 29,1/1/1995,
F 25 to 29,1/1/1996,79.4
F 25 to 29,1/1/1997,80.7
F 25 to 29,1/1/1998,80
F 25 to 29,1/1/1999,80.8
F 25 to 29,1/1/2000,
F 25 to 29,1/1/2001,82.9
F 25 to 29,1/1/2002,82.4
F 25 to 29,1/1/2003,84.1
F 25 to 29,1/1/2004,83.8
F 25 to 29,1/1/2005,
F 25 to 29,1/1/2006,84.5
F 25 to 29,1/1/2007,86.5
F 25 to 29,1/1/2008,84.5
F 25 to 29,1/1/2009,85.5
F 25 to 29,1/1/2010,85.7
F 25 to 29,1/1/2011,86.7
F 25 to 29,1/1/2012,86.8
F 25 to 29,1/1/2013,88
F 25 to 29,1/1/2014,88.6
F 25 to 29,1/1/2015,89.7
F 25 to 29,1/1/2016,90.6
F 25 to 29,1/1/2017,89.6
F 25 to 29,1/1/2018,89.4
F 25 to 29,1/1/2019,90.1
F 25 to 29,1/1/2020,91.1
F 25 to 29,1/1/2021,90.5
F 30 to 34,1/1/1991,60
F 30 to 34,1/1/1992,62.7
F 30 to 34,1/1/1993,62.1
F 30 to 34,1/1/1994,62.5
F 30 to 34,1/1/1995,
F 30 to 34,1/1/1996,66.7
F 30 to 34,1/1/1997,66.6
F 30 to 34,1/1/1998,68.2
F 30 to 34,1/1/1999,69.3
F 30 to 34,1/1/2000,
F 30 to 34,1/1/2001,71.4
F 30 to 34,1/1/2002,72.2
F 30 to 34,1/1/2003,74.4
F 30 to 34,1/1/2004,74.6
F 30 to 34,1/1/2005,
F 30 to 34,1/1/2006,77.7
F 30 to 34,1/1/2007,78.2
F 30 to 34,1/1/2008,80.5
F 30 to 34,1/1/2009,79.9
F 30 to 34,1/1/2010,81.3
F 30 to 34,1/1/2011,81
F 30 to 34,1/1/2012,83.3
F 30 to 34,1/1/2013,83.7
F 30 to 34,1/1/2014,83.3
F 30 to 34,1/1/2015,83.9
F 30 to 34,1/1/2016,85.3
F 30 to 34,1/1/2017,86.9
F 30 to 34,1/1/2018,84.9
F 30 to 34,1/1/2019,88.3
F 30 to 34,1/1/2020,88.2
F 30 to 34,1/1/2021,90.1
F 35 to 39,1/1/1991,55.3
F 35 to 39,1/1/1992,55.8
F 35 to 39,1/1/1993,56.4
F 35 to 39,1/1/1994,57.2
F 35 to 39,1/1/1995,
F 35 to 39,1/1/1996,59.8
F 35 to 39,1/1/1997,58.5
F 35 to 39,1/1/1998,61.5
F 35 to 39,1/1/1999,59.8
F 35 to 39,1/1/2000,
F 35 to 39,1/1/2001,62.6
F 35 to 39,1/1/2002,62.2
F 35 to 39,1/1/2003,65.5
F 35 to 39,1/1/2004,67.4
F 35 to 39,1/1/2005,
F 35 to 39,1/1/2006,70.4
F 35 to 39,1/1/2007,71.4
F 35 to 39,1/1/2008,74.4
F 35 to 39,1/1/2009,75.5
F 35 to 39,1/1/2010,75.2
F 35 to 39,1/1/2011,77.6
F 35 to 39,1/1/2012,78.9
F 35 to 39,1/1/2013,79.4
F 35 to 39,1/1/2014,80.9
F 35 to 39,1/1/2015,81.7
F 35 to 39,1/1/2016,82.3
F 35 to 39,1/1/2017,82.9
F 35 to 39,1/1/2018,81.8
F 35 to 39,1/1/2019,82.7
F 35 to 39,1/1/2020,84.4
F 35 to 39,1/1/2021,85.4
F 40 to 44,1/1/1991,53.8
F 40 to 44,1/1/1992,54.3
F 40 to 44,1/1/1993,54.1
F 40 to 44,1/1/1994,54.3
F 40 to 44,1/1/1995,
F 40 to 44,1/1/1996,56.5
F 40 to 44,1/1/1997,57.6
F 40 to 44,1/1/1998,59.5
F 40 to 44,1/1/1999,60.1
F 40 to 44,1/1/2000,
F 40 to 44,1/1/2001,61.9
F 40 to 44,1/1/2002,62.1
F 40 to 44,1/1/2003,62.7
F 40 to 44,1/1/2004,63.9
F 40 to 44,1/1/2005,
F 40 to 44,1/1/2006,67.7
F 40 to 44,1/1/2007,69
F 40 to 44,1/1/2008,69.9
F 40 to 44,1/1/2009,71.3
F 40 to 44,1/1/2010,72.7
F 40 to 44,1/1/2011,73.9
F 40 to 44,1/1/2012,74.8
F 40 to 44,1/1/2013,75.4
F 40 to 44,1/1/2014,78.1
F 40 to 44,1/1/2015,78.9
F 40 to 44,1/1/2016,80.2
F 40 to 44,1/1/2017,78.9
F 40 to 44,1/1/2018,81
F 40 to 44,1/1/2019,81.2
F 40 to 44,1/1/2020,81.4
F 40 to 44,1/1/2021,84.7
F 45 to 49,1/1/1991,46.1
F 45 to 49,1/1/1992,47.6
F 45 to 49,1/1/1993,49.4
F 45 to 49,1/1/1994,50.2
F 45 to 49,1/1/1995,
F 45 to 49,1/1/1996,54.1
F 45 to 49,1/1/1997,55.1
F 45 to 49,1/1/1998,55.8
F 45 to 49,1/1/1999,59.6
F 45 to 49,1/1/2000,
F 45 to 49,1/1/2001,60.8
F 45 to 49,1/1/2002,59.8
F 45 to 49,1/1/2003,58.9
F 45 to 49,1/1/2004,61.7
F 45 to 49,1/1/2005,
F 45 to 49,1/1/2006,66.2
F 45 to 49,1/1/2007,65.5
F 45 to 49,1/1/2008,68.7
F 45 to 49,1/1/2009,67.9
F 45 to 49,1/1/2010,68.9
F 45 to 49,1/1/2011,71.5
F 45 to 49,1/1/2012,73.4
F 45 to 49,1/1/2013,73.1
F 45 to 49,1/1/2014,73.7
F 45 to 49,1/1/2015,75.5
F 45 to 49,1/1/2016,77.2
F 45 to 49,1/1/2017,77.7
F 45 to 49,1/1/2018,78.1
F 45 to 49,1/1/2019,80.3
F 45 to 49,1/1/2020,78.8
F 45 to 49,1/1/2021,80.6
F 50 to 54,1/1/1991,33.8
F 50 to 54,1/1/1992,36.5
F 50 to 54,1/1/1993,37.1
F 50 to 54,1/1/1994,38.3
F 50 to 54,1/1/1995,
F 50 to 54,1/1/1996,44.3
F 50 to 54,1/1/1997,44.9
F 50 to 54,1/1/1998,46.5
F 50 to 54,1/1/1999,46.7
F 50 to 54,1/1/2000,
F 50 to 54,1/1/2001,51.2
F 50 to 54,1/1/2002,51.8
F 50 to 54,1/1/2003,54.1
F 50 to 54,1/1/2004,52.9
F 50 to 54,1/1/2005,
F 50 to 54,1/1/2006,59.5
F 50 to 54,1/1/2007,60.4
F 50 to 54,1/1/2008,62
F 50 to 54,1/1/2009,63
F 50 to 54,1/1/2010,64.9
F 50 to 54,1/1/2011,66.1
F 50 to 54,1/1/2012,65.6
F 50 to 54,1/1/2013,66.5
F 50 to 54,1/1/2014,70.4
F 50 to 54,1/1/2015,70.6
F 50 to 54,1/1/2016,70.3
F 50 to 54,1/1/2017,71.2
F 50 to 54,1/1/2018,71.5
F 50 to 54,1/1/2019,71.3
F 50 to 54,1/1/2020,71.6
F 50 to 54,1/1/2021,76.2
F 55 to 59,1/1/1991,21
F 55 to 59,1/1/1992,22.5
F 55 to 59,1/1/1993,23.8
F 55 to 59,1/1/1994,26.1
F 55 to 59,1/1/1995,
F 55 to 59,1/1/1996,28.8
F 55 to 59,1/1/1997,27.2
F 55 to 59,1/1/1998,30.4
F 55 to 59,1/1/1999,32.4
F 55 to 59,1/1/2000,
F 55 to 59,1/1/2001,37.7
F 55 to 59,1/1/2002,38.8
F 55 to 59,1/1/2003,36.2
F 55 to 59,1/1/2004,40.1
F 55 to 59,1/1/2005,
F 55 to 59,1/1/2006,44.7
F 55 to 59,1/1/2007,46.8
F 55 to 59,1/1/2008,48
F 55 to 59,1/1/2009,49.5
F 55 to 59,1/1/2010,51.7
F 55 to 59,1/1/2011,55.1
F 55 to 59,1/1/2012,56.2
F 55 to 59,1/1/2013,59.1
F 55 to 59,1/1/2014,61.4
F 55 to 59,1/1/2015,62.8
F 55 to 59,1/1/2016,63.1
F 55 to 59,1/1/2017,61.8
F 55 to 59,1/1/2018,62.1
F 55 to 59,1/1/2019,63.3
F 55 to 59,1/1/2020,64.8
F 55 to 59,1/1/2021,66.6
F 60 to 64,1/1/1991,12.4
F 60 to 64,1/1/1992,12.5
F 60 to 64,1/1/1993,10.6
F 60 to 64,1/1/1994,12.9
F 60 to 64,1/1/1995,
F 60 to 64,1/1/1996,14.9
F 60 to 64,1/1/1997,15.4
F 60 to 64,1/1/1998,13.9
F 60 to 64,1/1/1999,19.4
F 60 to 64,1/1/2000,
F 60 to 64,1/1/2001,18.6
F 60 to 64,1/1/2002,19
F 60 to 64,1/1/2003,18.9
F 60 to 64,1/1/2004,18.4
F 60 to 64,1/1/2005,
F 60 to 64,1/1/2006,26.2
F 60 to 64,1/1/2007,29.2
F 60 to 64,1/1/2008,33.1
F 60 to 64,1/1/2009,33
F 60 to 64,1/1/2010,35.4
F 60 to 64,1/1/2011,38.4
F 60 to 64,1/1/2012,41.7
F 60 to 64,1/1/2013,44.2
F 60 to 64,1/1/2014,45.5
F 60 to 64,1/1/2015,47.7
F 60 to 64,1/1/2016,48.8
F 60 to 64,1/1/2017,49.9
F 60 to 64,1/1/2018,49.4
F 60 to 64,1/1/2019,50.8
F 60 to 64,1/1/2020,52.6
F 60 to 64,1/1/2021,53.6
F 65 to 69,1/1/1991,6.3
F 65 to 69,1/1/1992,7.3
F 65 to 69,1/1/1993,6.4
F 65 to 69,1/1/1994,8
F 65 to 69,1/1/1995,
F 65 to 69,1/1/1996,8.8
F 65 to 69,1/1/1997,8.8
F 65 to 69,1/1/1998,8.2
F 65 to 69,1/1/1999,9.1
F 65 to 69,1/1/2000,
F 65 to 69,1/1/2001,9.5
F 65 to 69,1/1/2002,8
F 65 to 69,1/1/2003,9.6
F 65 to 69,1/1/2004,9.7
F 65 to 69,1/1/2005,
F 65 to 69,1/1/2006,15.6
F 65 to 69,1/1/2007,15.6
F 65 to 69,1/1/2008,16.6
F 65 to 69,1/1/2009,17.7
F 65 to 69,1/1/2010,19.1
F 65 to 69,1/1/2011,23.9
F 65 to 69,1/1/2012,26.3
F 65 to 69,1/1/2013,27.9
F 65 to 69,1/1/2014,29.5
F 65 to 69,1/1/2015,31.1
F 65 to 69,1/1/2016,31.4
F 65 to 69,1/1/2017,32.9
F 65 to 69,1/1/2018,33.7
F 65 to 69,1/1/2019,35.3
F 65 to 69,1/1/2020,38.2
F 65 to 69,1/1/2021,40.6
F 70 to 74,1/1/1991,4.3
F 70 to 74,1/1/1992,5.4
F 70 to 74,1/1/1993,3.4
F 70 to 74,1/1/1994,4.8
F 70 to 74,1/1/1995,
F 70 to 74,1/1/1996,5.2
F 70 to 74,1/1/1997,5.1
F 70 to 74,1/1/1998,3.7
F 70 to 74,1/1/1999,4.4
F 70 to 74,1/1/2000,
F 70 to 74,1/1/2001,4.5
F 70 to 74,1/1/2002,4.9
F 70 to 74,1/1/2003,4.3
F 70 to 74,1/1/2004,4.8
F 70 to 74,1/1/2005,
F 70 to 74,1/1/2006,7.7
F 70 to 74,1/1/2007,6.4
F 70 to 74,1/1/2008,7.9
F 70 to 74,1/1/2009,9.3
F 70 to 74,1/1/2010,11.3
F 70 to 74,1/1/2011,11.3
F 70 to 74,1/1/2012,13.4
F 70 to 74,1/1/2013,14.1
F 70 to 74,1/1/2014,15.6
F 70 to 74,1/1/2015,16.5
F 70 to 74,1/1/2016,19.3
F 70 to 74,1/1/2017,18.1
F 70 to 74,1/1/2018,20.3
F 70 to 74,1/1/2019,20.4
F 70 to 74,1/1/2020,21.9
F 70 to 74,1/1/2021,22.7
F 75 & Over,1/1/1991,1.9
F 75 & Over,1/1/1992,1.1
F 75 & Over,1/1/1993,1.9
F 75 & Over,1/1/1994,1.5
F 75 & Over,1/1/1995,
F 75 & Over,1/1/1996,1.6
F 75 & Over,1/1/1997,1.5
F 75 & Over,1/1/1998,1.4
F 75 & Over,1/1/1999,1.5
F 75 & Over,1/1/2000,
F 75 & Over,1/1/2001,1.5
F 75 & Over,1/1/2002,1.7
F 75 & Over,1/1/2003,1.1
F 75 & Over,1/1/2004,1
F 75 & Over,1/1/2005,
F 75 & Over,1/1/2006,2
F 75 & Over,1/1/2007,2.7
F 75 & Over,1/1/2008,2.7
F 75 & Over,1/1/2009,2.4
F 75 & Over,1/1/2010,2.7
F 75 & Over,1/1/2011,3.3
F 75 & Over,1/1/2012,3.4
F 75 & Over,1/1/2013,4.2
F 75 & Over,1/1/2014,4.7
F 75 & Over,1/1/2015,5.5
F 75 & Over,1/1/2016,5.1
F 75 & Over,1/1/2017,5
F 75 & Over,1/1/2018,6.1
F 75 & Over,1/1/2019,5.8
F 75 & Over,1/1/2020,7
F 75 & Over,1/1/2021,7.9
